Name,ID
Russia,70
Singapore,71
Chinese Taipei,72
Thailand,73
Trinidad and Tobago,74
Tunisia,75
United Arab Emirates,76
Uruguay,77
Viet Nam,78
Bermuda,1
Switzerland,2
Iceland,3
Norway,4
Bahamas,5
Denmark,6
Us Virgin Islands,7
Japan,8
Israel,9
Singapore,10
New Zealand,11
Luxembourg,12
Australia,13
Ireland,14
Sweden,15
Belgium,16
Finland,17
France,18
South Korea,19
Netherlands,20
Hong Kong,21
Austria,22
Italy,23
United States,24
United Kingdom,25
Germany,26
Uruguay,27
Canada,28
Puerto Rico,29
Malta,30
United Arab Emirates,31
Kuwait,32
Qatar,33
Taiwan,34
Ghana,35
Lebanon,36
Greece,37
Spain,38
Bahrain,39
Palestinian Territory,40
Jamaica,41
Cyprus,42
Costa Rica,43
Jordan,44
Slovenia,45
Trinidad And Tobago,46
Panama,47
Argentina,48
Estonia,49
Portugal,50
Croatia,51
Oman,52
Mauritius,53
Chile,54
Brazil,55
Zimbabwe,56
Dominican Republic,57
Lithuania,58
Latvia,59
Ethiopia,60
Saudi Arabia,61
Slovakia,62
El Salvador,63
Guatemala,64
Cambodia,65
Iraq,66
Czech Republic,67
Honduras,68
Tanzania,69
Thailand,70
Hungary,71
Ecuador,72
South Africa,73
China,74
Russia,75
Turkey,76
Montenegro,77
Poland,78
Malaysia,79
Indonesia,80
Peru,81
Vietnam,82
Bulgaria,83
Kenya,84
Romania,85
Bosnia And Herzegovina,86
Bolivia,87
Iran,88
Morocco,89
Serbia,90
Albania,91
Philippines,92
Mexico,93
Kazakhstan,94
Armenia,95
Belarus,96
Venezuela,97
Bangladesh,98
Uganda,99
Sri Lanka,100
Algeria,101
Colombia,102
Nigeria,103
Macedonia,104
Moldova,105
Georgia,106
Nepal,107
Azerbaijan,108
Syria,109
Kosovo (Disputed Territory),110
Ukraine,111
Tunisia,112
Pakistan,113
India,114
Egypt,115
Afghanistan,1
Aland Islands,2
Albania,3
Algeria,4
American Samoa,5
Andorra,6
Angola,7
Anguilla,8
Antarctica,9
Antigua and Barbuda,10
Argentina,11
Armenia,12
Aruba,13
Australia,14
Austria,15
Azerbaijan,16
Bahamas,17
Bahrain,18
Bangladesh,19
Barbados,20
Belarus,21
Belgium,22
Belize,23
Benin,24
Bermuda,25
Bhutan,26
Bolivia,27
Bosnia and Herzegovina,28
Botswana,29
Bouvet Island,30
Brazil,31
British Virgin Islands,32
British Indian Ocean Territory,33
Brunei Darussalam,34
Bulgaria,35
Burkina Faso,36
Burundi,37
Cambodia,38
Cameroon,39
Canada,40
Cape Verde,41
Cayman Islands,42
Central African Republic,43
Chad,44
Chile,45
China,46
"Hong Kong, SAR China",47
"Macao, SAR China",48
Christmas Island,49
Cocos (Keeling) Islands,50
Colombia,51
Comoros,52
Congo (Brazzaville),53
"Congo, (Kinshasa)",54
Cook Islands,55
Costa Rica,56
Côte d'Ivoire,57
Croatia,58
Cuba,59
Cyprus,60
Czech Republic,61
Denmark,62
Djibouti,63
Dominica,64
Dominican Republic,65
Ecuador,66
Egypt,67
El Salvador,68
Equatorial Guinea,69
Eritrea,70
Estonia,71
Ethiopia,72
Falkland Islands (Malvinas),73
Faroe Islands,74
Fiji,75
Finland,76
France,77
French Guiana,78
French Polynesia,79
French Southern Territories,80
Gabon,81
Gambia,82
Georgia,83
Germany,84
Ghana,85
Gibraltar,86
Greece,87
Greenland,88
Grenada,89
Guadeloupe,90
Guam,91
Guatemala,92
Guernsey,93
Guinea,94
Guinea-Bissau,95
Guyana,96
Haiti,97
Heard and Mcdonald Islands,98
Holy See (Vatican City State),99
Honduras,100
Hungary,101
Iceland,102
India,103
Indonesia,104
"Iran, Islamic Republic of",105
Iraq,106
Ireland,107
Isle of Man,108
Israel,109
Italy,110
Jamaica,111
Japan,112
Jersey,113
Jordan,114
Kazakhstan,115
Kenya,116
Kiribati,117
Korea (North),118
Korea (South),119
Kuwait,120
Kyrgyzstan,121
Lao PDR,122
Latvia,123
Lebanon,124
Lesotho,125
Liberia,126
Libya,127
Liechtenstein,128
Lithuania,129
Luxembourg,130
"Macedonia, Republic of",131
Madagascar,132
Malawi,133
Malaysia,134
Maldives,135
Mali,136
Malta,137
Marshall Islands,138
Martinique,139
Mauritania,140
Mauritius,141
Mayotte,142
Mexico,143
"Micronesia, Federated States of",144
Moldova,145
Monaco,146
Mongolia,147
Montenegro,148
Montserrat,149
Morocco,150
Mozambique,151
Myanmar,152
Namibia,153
Nauru,154
Nepal,155
Netherlands,156
Netherlands Antilles,157
New Caledonia,158
New Zealand,159
Nicaragua,160
Niger,161
Nigeria,162
Niue,163
Norfolk Island,164
Northern Mariana Islands,165
Norway,166
Oman,167
Pakistan,168
Palau,169
Palestinian Territory,170
Panama,171
Papua New Guinea,172
Paraguay,173
Peru,174
Philippines,175
Pitcairn,176
Poland,177
Portugal,178
Puerto Rico,179
Qatar,180
Réunion,181
Romania,182
Russian Federation,183
Rwanda,184
Saint-Barthélemy,185
Saint Helena,186
Saint Kitts and Nevis,187
Saint Lucia,188
Saint-Martin (French part),189
Saint Pierre and Miquelon,190
Saint Vincent and Grenadines,191
Samoa,192
San Marino,193
Sao Tome and Principe,194
Saudi Arabia,195
Senegal,196
Serbia,197
Seychelles,198
Sierra Leone,199
Singapore,200
Slovakia,201
Slovenia,202
Solomon Islands,203
Somalia,204
South Africa,205
South Georgia and the South Sandwich Islands,206
South Sudan,207
Spain,208
Sri Lanka,209
Sudan,210
Suriname,211
Svalbard and Jan Mayen Islands,212
Swaziland,213
Sweden,214
Switzerland,215
Syrian Arab Republic (Syria),216
"Taiwan, Republic of China",217
Tajikistan,218
"Tanzania, United Republic of",219
Thailand,220
Timor-Leste,221
Togo,222
Tokelau,223
Tonga,224
Trinidad and Tobago,225
Tunisia,226
Turkey,227
Turkmenistan,228
Turks and Caicos Islands,229
Tuvalu,230
Uganda,231
Ukraine,232
United Arab Emirates,233
United Kingdom,234
United States of America,235
US Minor Outlying Islands,236
Uruguay,237
Uzbekistan,238
Vanuatu,239
Venezuela (Bolivarian Republic),240
Viet Nam,241
"Virgin Islands, US",242
Wallis and Futuna Islands,243
Western Sahara,244
Yemen,245
Zambia,246
Zimbabwe,247
