raw name,preferred_name
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
Macao,Macao
"Macao, SAR China",Macao
Macao (China),Macao
Macedonia,Macedonia
"Macedonia, Republic of",Macedonia
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Malaysia (2015),Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Marshall Islands,Marshall Islands
Martinique,Martinique
Mauritania,Mauritania
Mauritius,Mauritius
Mayotte,Mayotte
Mexico,Mexico
Micronesia,Micronesia
"Micronesia, Federated States of",Micronesia
Moldova,Moldova
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Montserrat,Montserrat
Morocco,Morocco
Morocco / Western Sahara,Western Sahara
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
Netherlands,Netherlands
Netherlands Antilles,Netherlands Antilles
New Caledonia,New Caledonia
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Niue,Niue
Norfolk Island,Norfolk Island
North Cyprus,Cyprus
Northern Cyprus,Cyprus
Northern Mariana Islands,Northern Mariana Islands
North Korea,North Korea
Norway,Norway
OECS,OECS
Oman,Oman
Pakistan,Pakistan
Palau,Palau
Palestine,Palestine
Palestinian Territories,Palestine
Palestinian Territory,Palestine
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Pitcairn,Pitcairn
Poland,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Qatar,Qatar
Réunion,Réunion
Romania,Romania
Russia,Russia
Russian Federation,Russia
Rwanda,Rwanda
Saint-Barthélemy,Saint-Barthélemy
Saint Helena,Saint Helena
Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia
Saint-Martin (French part),Saint-Martin (French part)
Saint Pierre and Miquelon,Saint Pierre and Miquelon
Saint Vincent and Grenadines,St. Vincent & Grenadines
Samoa,Samoa
San Marino,San Marino
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Selected countries and jurisdictions,Selected countries and jurisdictions
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Sint Maarten,Sint Maarten
Slovakia,Slovakia
Slovak Republic,Slovakia
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands
South Korea,South Korea
South Sudan,South Sudan
Spain,Spain
Sri Lanka,Sri Lanka
St. Vincent & Grenadines,St. Vincent & Grenadines
State of Palestine,Palestine
Sudan,Sudan
Surinam,Surinam
Suriname,Surinam
Svalbard and Jan Mayen Islands,Svalbard and Jan Mayen Islands
Swaziland,Swaziland
Sweden,Sweden
Switzerland,Switzerland
Syria,Syria
Syrian Arab Republic (Syria),Syria
Taiwan,Taiwan
"Taiwan, Republic of China",Taiwan
Taiwan Province of China,Taiwan
Tajikistan,Tajikistan
Tanzania,Tanzania
"Tanzania, United Republic of",Tanzania
TFYR Macedonia,Macedonia
Thailand,Thailand
Timor-Leste,Timor-Leste
Togo,Togo
Tokelau,Tokelau
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Trinidad And Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Turks and Caicos Islands,Turks and Caicos Islands
Tuvalu,Tuvalu
U.K.,United Kingdom
U.S.,United States
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
United States,United States
United States of America,United States
United States Virgin Islands,US Virgin Islands
Uruguay,Uruguay
US Minor Outlying Islands,US Minor Outlying Islands
Us Virgin Islands,US Virgin Islands
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Venezuela,Venezuela
Venezuela (Bolivarian Republic),Venezuela
Vietnam,Vietnam
Viet Nam,Vietnam
"Virgin Islands, US",US Virgin Islands
Wallis and Futuna,Wallis and Futuna
Wallis and Futuna Islands,Wallis and Futuna
Western Sahara,Western Sahara
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
